Easiest Location (for top items),Item,Type,Subtype,Flavor,Power,ACC,DEF,INI,Elem.,Aff.,Skill,Skill,Min LV,Rarity,Cost,Region,Region,Region,Region,Attribute,Attribute,Attribute,Attribute,Item
,Gallic Aquincum,Helmet,HelmetE,Military,90,-5,4,,Water ,6,,,18,Rare,8064,Expanse,,,,,,,,Water Gallic Aquincum
,Gallic Helmet,Helmet,HelmetE,Military,85,-5,4,,,,,,17,Frequent,5440,Imperia,,,,,,,,Gallic Helmet
,Glossy Attic,Helmet,HelmetE,Military,10,-1,1,,,,,,2,Common,640,Imperia,,,,,,,,Glossy Attic
,Hooked Coolus,Helmet,HelmetE,Military,35,-3,2,,Air ,8,,,7,Frequent,3136,Expanse,,,,,,,,Air Hooked Coolus
,Hooked Coolus,Helmet,HelmetE,Military,35,-3,2,,Earth ,8,,,7,Frequent,3136,Expanse,,,,,,,,Earth Hooked Coolus
,Hooked Coolus,Helmet,HelmetE,Military,35,-3,2,,Fire ,8,,,7,Frequent,3136,Expanse,,,,,,,,Fire Hooked Coolus
,Hooked Coolus,Helmet,HelmetE,Military,35,-3,2,,Water ,8,,,7,Frequent,3136,Expanse,,,,,,,,Water Hooked Coolus
,Iron Coolus,Helmet,HelmetE,Military,30,-3,2,,Earth ,6,,,6,Frequent,2496,Expanse,,,,,,,,Earth Iron Coolus
,Ornamental Italic,Helmet,HelmetE,Military,40,-3,2,,,,,,8,Infrequent,2688,Steppes,,,,,,,,Ornamental Italic
,Ornate Italic Helmet,Helmet,HelmetE,Military,50,-3,2,,,,,,10,Infrequent,3360,Imperia,,,,,,,,Ornate Italic Helmet
,Pedes Attic,Helmet,HelmetE,Military,20,-2,1,,Air ,4,,,4,Common,1472,Imperia,,,,,,,,Air Pedes Attic
,Pedes Attic,Helmet,HelmetE,Military,20,-2,1,,Earth ,4,,,4,Common,1472,Imperia,,,,,,,,Earth Pedes Attic
,Pedes Attic,Helmet,HelmetE,Military,20,-2,1,,Fire ,4,,,4,Common,1472,Imperia,,,,,,,,Fire Pedes Attic
,Pedes Attic,Helmet,HelmetE,Military,20,-2,1,,Water ,4,,,4,Common,1472,Imperia,,,,,,,,Water Pedes Attic
,Praetorian Italic Helmet,Helmet,HelmetE,Military,55,-4,3,,Air ,10,,,11,Rare,5632,Imperia,,,,,,,,Air Praetorian Italic Helmet
,Praetorian Italic Helmet,Helmet,HelmetE,Military,55,-4,3,,Earth ,10,,,11,Rare,5632,Imperia,,,,,,,,Earth Praetorian Italic Helmet
,Praetorian Italic Helmet,Helmet,HelmetE,Military,55,-4,3,,Fire ,10,,,11,Rare,5632,Imperia,,,,,,,,Fire Praetorian Italic Helmet
,Praetorian Italic Helmet,Helmet,HelmetE,Military,55,-4,3,,Water ,10,,,11,Rare,5632,Imperia,,,,,,,,Water Praetorian Italic Helmet
,Worn Attic,Helmet,HelmetE,Military,20,-2,1,,,,,,4,Common,1216,Steppes,,,,,,,,Worn Attic
,Winged Infantry Helm,Helmet,HelmetE,Peltast,90,-5,4,,Air ,20,,,18,Unique,11232,Imperia,,,,Classspecific,,,,Air Winged Infantry Helm
,Chainmail Corinthian,Helmet,HelmetE,Samnite,90,-5,4,,Air ,6,,,18,Unique,7200,Expanse,,,,,,,,Air Chainmail Corinthian
,Chainmail Corinthian,Helmet,HelmetE,Samnite,90,-5,4,,Earth ,6,,,18,Unique,7200,Expanse,,,,,,,,Earth Chainmail Corinthian
,Chainmail Corinthian,Helmet,HelmetE,Samnite,90,-5,4,,Fire ,6,,,18,Unique,7200,Expanse,,,,,,,,Fire Chainmail Corinthian
,Chainmail Corinthian,Helmet,HelmetE,Samnite,90,-5,4,,Water ,6,,,18,Unique,7200,Expanse,,,,,,,,Water Chainmail Corinthian
,Plated Corinthian Helmet,Helmet,HelmetE,Samnite,90,-5,4,,Air ,8,,,18,Unique,7776,Expanse,,,,,,,,Air Plated Corinthian Helmet
,Plated Corinthian Helmet,Helmet,HelmetE,Samnite,90,-5,4,,Earth ,8,,,18,Unique,7776,Expanse,,,,,,,,Earth Plated Corinthian Helmet
,Plated Corinthian Helmet,Helmet,HelmetE,Samnite,90,-5,4,,Fire ,8,,,18,Unique,7776,Expanse,,,,,,,,Fire Plated Corinthian Helmet
,Plated Corinthian Helmet,Helmet,HelmetE,Samnite,90,-5,4,,Water ,8,,,18,Unique,7776,Expanse,,,,,,,,Water Plated Corinthian Helmet
,Shielded Corinthian,Helmet,HelmetE,Samnite,90,-5,4,,Air ,10,,,18,Unique,8352,Imperia,,,,,,,,Air Shielded Corinthian
,Shielded Corinthian,Helmet,HelmetE,Samnite,90,-5,4,,Earth ,10,,,18,Unique,8352,Imperia,,,,,,,,Earth Shielded Corinthian
,Shielded Corinthian,Helmet,HelmetE,Samnite,90,-5,4,,Fire ,10,,,18,Unique,8352,Imperia,,,,,,,,Fire Shielded Corinthian
,Shielded Corinthian,Helmet,HelmetE,Samnite,90,-5,4,,Water ,10,,,18,Unique,8352,Imperia,,,,,,,,Water Shielded Corinthian
,Dark Carnifico Dark,Helmet,HelmetF,DarkLegion,90,-1,1,,Dark ,10,,,1,Unique,480,Imperia,,,,Classspecific,,,,Dark Carnifico Dark
,Dark Casus Dark,Helmet,HelmetF,DarkLegion,90,-1,1,,Dark ,10,,,1,Unique,480,Steppes,,,,Classspecific,,,,Dark Casus Dark
,Dark Cruor,Helmet,HelmetF,DarkLegion,90,-1,1,,Dark ,10,,,1,Unique,480,Imperia,,,,Classspecific,,,,Dark Cruor
,Bronze Rimmed Thracian,Helmet,HelmetF,Gladiatorial,30,-3,2,,,,,,6,Frequent,1920,Imperia,,,,,,,,Bronze Rimmed Thracian
,Carnifico,Helmet,HelmetF,Gladiatorial,55,-4,3,,,,,,11,Infrequent,3696,Imperia,,,,,,,,Carnifico
,Casus,Helmet,HelmetF,Gladiatorial,60,-4,3,,,,,,12,Infrequent,4032,Steppes,,,,,,,,Casus
,Grinning Pondus,Helmet,HelmetF,Gladiatorial,85,-5,4,,Air ,8,,,17,Rare,8160,Steppes,,,,,,,,Air Grinning Pondus
,Grinning Pondus,Helmet,HelmetF,Gladiatorial,85,-5,4,,Earth ,8,,,17,Rare,8160,Steppes,,,,,,,,Earth Grinning Pondus
,Grinning Pondus,Helmet,HelmetF,Gladiatorial,85,-5,4,,Fire ,8,,,17,Rare,8160,Steppes,,,,,,,,Fire Grinning Pondus
,Grinning Pondus,Helmet,HelmetF,Gladiatorial,85,-5,4,,Water ,8,,,17,Rare,8160,Steppes,,,,,,,,Water Grinning Pondus
,Heavy Pondus,Helmet,HelmetF,Gladiatorial,90,-5,4,,Air ,6,,,18,Infrequent,7776,Imperia,,,,,,,,Air Heavy Pondus
,Heavy Pondus,Helmet,HelmetF,Gladiatorial,90,-5,4,,Earth ,6,,,18,Infrequent,7776,Imperia,,,,,,,,Earth Heavy Pondus
,Heavy Pondus,Helmet,HelmetF,Gladiatorial,90,-5,4,,Fire ,6,,,18,Infrequent,7776,Imperia,,,,,,,,Fire Heavy Pondus
,Heavy Pondus,Helmet,HelmetF,Gladiatorial,90,-5,4,,Water ,6,,,18,Infrequent,7776,Imperia,,,,,,,,Water Heavy Pondus
,Horned Thracian,Helmet,HelmetF,Gladiatorial,65,-4,3,,,,,,13,Infrequent,4368,Steppes,,,,,,,,Horned Thracian
,Iron Thracian,Helmet,HelmetF,Gladiatorial,15,-2,1,,,,,,3,Common,912,Steppes,,,,,,,,Iron Thracian
,Mosaic Thracian Helmet,Helmet,HelmetF,Gladiatorial,20,-2,1,,,,,,4,Common,1216,Expanse,,,,,,,,Mosaic Thracian Helmet
,Nex,Helmet,HelmetF,Gladiatorial,50,-3,2,,,,,,10,Infrequent,3360,Imperia,,,,,,,,Nex
,Pondus Fabula,Helmet,HelmetF,Gladiatorial,75,-4,3,,Fire ,8,,,15,Rare,7200,Expanse,,,,,,,,Fire Pondus Fabula
,Shumpula,Helmet,HelmetF,Gladiatorial,40,-3,2,,,,,,8,Infrequent,2688,Expanse,,,,,,,,Shumpula
,Studded Pondus,Helmet,HelmetF,Gladiatorial,95,-5,4,,Air ,8,,,19,Rare,9120,Imperia,,,,,,,,Air Studded Pondus
,Studded Pondus,Helmet,HelmetF,Gladiatorial,95,-5,4,,Earth ,8,,,19,Rare,9120,Imperia,,,,,,,,Earth Studded Pondus
,Studded Pondus,Helmet,HelmetF,Gladiatorial,95,-5,4,,Fire ,8,,,19,Rare,9120,Imperia,,,,,,,,Fire Studded Pondus
,Studded Pondus,Helmet,HelmetF,Gladiatorial,95,-5,4,,Water ,8,,,19,Rare,9120,Imperia,,,,,,,,Water Studded Pondus
,The Steel Skull,Helmet,HelmetF,Gladiatorial,80,-5,4,,,,,,16,Rare,5632,Expanse,,,,,,,,The Steel Skull
,Open Pondus,Helmet,HelmetF,Ogre,85,-5,4,,,,,,17,Unique,5168,Imperia,,,,Classspecific,,,,Open Pondus
,Boar's Head,Helmet,HelmetF,Samnite,85,-5,4,,Earth ,12,,,17,Unique,8432,Steppes,,,,Classspecific,,,,Earth Boar's Head
,Chainmail Pondus,Helmet,HelmetF,Samnite,90,-5,4,,,,,,18,Unique,5472,Expanse,,,,Classspecific,,,,Chainmail Pondus
,Chainmail Thracian,Helmet,HelmetF,Samnite,85,-5,4,,,,,,17,Unique,5168,Expanse,,,,Classspecific,,,,Chainmail Thracian
,Nomad's Pondus,Helmet,HelmetF,Samnite,100,-5,4,,,,,,19,Unique,5776,Steppes,,,,Classspecific,,,,Nomad's Pondus
,Decorated Pondus,Helmet,HelmetF,Secutor,90,-5,4,,Air ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Air Decorated Pondus
,Decorated Pondus,Helmet,HelmetF,Secutor,90,-5,4,,Earth ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Earth Decorated Pondus
,Decorated Pondus,Helmet,HelmetF,Secutor,90,-5,4,,Fire ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Fire Decorated Pondus
,Decorated Pondus,Helmet,HelmetF,Secutor,90,-5,4,,Water ,12,,,18,Unique,8928,Imperia,,,,Classspecific,,,,Water Decorated Pondus
,Finned Ferinus Helmet,Helmet,HelmetF,Secutor,85,-5,4,,Fire ,16,,,17,Unique,9520,Steppes,,,,Classspecific,,,,Fire Finned Ferinus Helmet
,Dark Nex Dark,Helmet,HelmetF,Undead,50,-3,2,,Dark ,10,,,10,Unique,4640,Imperia,,,,Classspecific,,,,Dark Nex Dark
,Dark Shumpula Dark,Helmet,HelmetF,Undead,50,-3,2,,Dark ,12,,,10,Unique,4960,Expanse,,,,Classspecific,,,,Dark Shumpula Dark
,Dark The Steel Skull Dark,Helmet,HelmetF,Undead,50,-3,2,,Dark ,10,,,10,Unique,4640,Expanse,,,,Classspecific,,,,Dark The Steel Skull Dark
,Dark Hoplite Dark,Shield,Shield,DarkLegion,69,-2,6,,Dark ,10,,,6,Common,3264,Imperia,,,,Classspecific,,,,Dark Hoplite Dark
,Desert Carapace,Shield,Shield,Gwazi,175,-4,13,,,,,,18,Unique,8352,Expanse,,,,Classspecific,,,,Desert Carapace
,Animal Hide Shield,Shield,Shield,Heavy,33,-1,3,,,,,,2,Frequent,368,Steppes,,,,,,,,Animal Hide Shield
,Heavy Bronze Shield,Shield,Shield,Heavy,91,-2,6,,Air ,6,,,6,Frequent,1488,Imperia,,,,,,,,Air Heavy Bronze Shield
,Heavy Bronze Shield,Shield,Shield,Heavy,91,-2,6,,Earth ,6,,,6,Frequent,1488,Imperia,,,,,,,,Earth Heavy Bronze Shield
,Heavy Bronze Shield,Shield,Shield,Heavy,91,-2,6,,Fire ,6,,,6,Frequent,1488,Imperia,,,,,,,,Fire Heavy Bronze Shield
,Heavy Bronze Shield,Shield,Shield,Heavy,91,-2,6,,Water ,6,,,6,Frequent,1488,Imperia,,,,,,,,Water Heavy Bronze Shield
,Komo,Shield,Shield,Heavy,18,,2,,,,,,1,Common,176,Expanse,,,,,,,,Komo
,Night's Guardian,Shield,Shield,Heavy,121,-2,7,,Air ,6,,,8,Rare,2176,Nordagh,,,,,,,,Air Night's Guardian
,Pointed Tower,Shield,Shield,Heavy,267,-4,13,,,,,,18,Rare,4608,Steppes,,,,,,,,Pointed Tower
,Procerus,Shield,Shield,Heavy,179,-3,9,,Air ,4,,,12,Common,2880,Imperia,,,,,,,,Air Procerus
,Procerus,Shield,Shield,Heavy,179,-3,9,,Earth ,4,,,12,Common,2880,Imperia,,,,,,,,Earth Procerus
,Procerus,Shield,Shield,Heavy,179,-3,9,,Fire ,4,,,12,Common,2880,Imperia,,,,,,,,Fire Procerus
,Procerus,Shield,Shield,Heavy,179,-3,9,,Water ,4,,,12,Common,2880,Imperia,,,,,,,,Water Procerus
,Reinforced Targe,Shield,Shield,Heavy,150,-2,8,,,,,,10,Frequent,2160,Nordagh,,,,,,,,Reinforced Targe
,Scutum,Shield,Shield,Heavy,62,-1,4,,Air ,6,,,4,Common,928,Imperia,,,,,,,,Air Scutum
,Scutum,Shield,Shield,Heavy,62,-1,4,,Earth ,6,,,4,Common,928,Imperia,,,,,,,,Earth Scutum
,Scutum,Shield,Shield,Heavy,62,-1,4,,Fire ,6,,,4,Common,928,Imperia,,,,,,,,Fire Scutum
,Scutum,Shield,Shield,Heavy,62,-1,4,,Water ,6,,,4,Common,928,Imperia,,,,,,,,Water Scutum
,Shield of the Visigoth,Shield,Shield,Heavy,135,-2,7,,Air ,12,,,9,Rare,2880,Imperia,,,,,,,,Air Shield of the Visigoth
,Shield of the Visigoth,Shield,Shield,Heavy,135,-2,7,,Earth ,12,,,9,Rare,2880,Imperia,,,,,,,,Earth Shield of the Visigoth
,Shield of the Visigoth,Shield,Shield,Heavy,135,-2,7,,Fire ,12,,,9,Rare,2880,Imperia,,,,,,,,Fire Shield of the Visigoth
,Shield of the Visigoth,Shield,Shield,Heavy,135,-2,7,,Water ,12,,,9,Rare,2880,Imperia,,,,,,,,Water Shield of the Visigoth
,Skull Shield,Shield,Shield,Heavy,47,-1,4,,Earth ,4,,,3,Infrequent,696,Expanse,,,,,,,,Earth Skull Shield
,Tower Shield,Shield,Shield,Heavy,209,-3,10,,,,,,14,Common,3024,Imperia,,,,,,,,Tower Shield
,Warlord's Shield,Shield,Shield,Heavy,91,-2,6,,,,,,6,Infrequent,1248,Steppes,,,,,,,,Warlord's Shield
,Angled Scutum,Shield,Shield,Legionnaire,165,-3,11,,Air ,16,,,15,Unique,10560,Imperia,,,,Classspecific,,,,Air Angled Scutum
,Angled Scutum,Shield,Shield,Legionnaire,165,-3,11,,Earth ,16,,,15,Unique,10560,Imperia,,,,Classspecific,,,,Earth Angled Scutum
,Angled Scutum,Shield,Shield,Legionnaire,165,-3,11,,Fire ,16,,,15,Unique,10560,Imperia,,,,Classspecific,,,,Fire Angled Scutum
,Angled Scutum,Shield,Shield,Legionnaire,165,-3,11,,Water ,16,,,15,Unique,10560,Imperia,,,,Classspecific,,,,Water Angled Scutum
,Soldier's Scutum,Shield,Shield,Legionnaire,57,-2,5,,Air ,10,,,5,Common,2640,Imperia,,,,Classspecific,,,,Air Soldier's Scutum
,Soldier's Scutum,Shield,Shield,Legionnaire,57,-2,5,,Earth ,10,,,5,Common,2640,Imperia,,,,Classspecific,,,,Earth Soldier's Scutum
,Soldier's Scutum,Shield,Shield,Legionnaire,57,-2,5,,Fire ,10,,,5,Common,2640,Imperia,,,,Classspecific,,,,Fire Soldier's Scutum
,Soldier's Scutum,Shield,Shield,Legionnaire,57,-2,5,,Water ,10,,,5,Common,2640,Imperia,,,,Classspecific,,,,Water Soldier's Scutum
,Bamboo Shield,Shield,Shield,Light,78,-2,7,,Air ,6,,,8,Common,496,Steppes,,,,,,,,Air Bamboo Shield
,Bamboo Shield,Shield,Shield,Light,78,-2,7,,Earth ,6,,,8,Common,496,Steppes,,,,,,,,Earth Bamboo Shield
,Bamboo Shield,Shield,Shield,Light,78,-2,7,,Fire ,6,,,8,Common,496,Steppes,,,,,,,,Fire Bamboo Shield
,Bamboo Shield,Shield,Shield,Light,78,-2,7,,Water ,6,,,8,Common,496,Steppes,,,,,,,,Water Bamboo Shield
,Bladed Pendulum,Shield,Shield,Light,185,-5,14,,Water ,6,,,19,Very Rare,1482,Expanse,,,,,,,,Water Bladed Pendulum
,Boandey,Shield,Shield,Light,165,-4,12,,Earth ,12,,,17,Infrequent,1428,Nordagh,,,,,,,,Earth Boandey
,Bronze shield,Shield,Shield,Light,127,-3,10,,Air ,6,,,13,Frequent,884,Imperia,,,,,,,,Air Bronze shield
,Bronze shield,Shield,Shield,Light,127,-3,10,,Earth ,6,,,13,Frequent,884,Imperia,,,,,,,,Earth Bronze shield
,Bronze shield,Shield,Shield,Light,127,-3,10,,Fire ,6,,,13,Frequent,884,Imperia,,,,,,,,Fire Bronze shield
,Bronze shield,Shield,Shield,Light,127,-3,10,,Water ,6,,,13,Frequent,884,Imperia,,,,,,,,Water Bronze shield
,Bronze Winged Shield,Shield,Shield,Light,127,-3,10,,Air ,8,,,13,Frequent,936,Expanse,,,,,,,,Air Bronze Winged Shield
,Bronze Winged Shield,Shield,Shield,Light,127,-3,10,,Earth ,8,,,13,Frequent,936,Expanse,,,,,,,,Earth Bronze Winged Shield
,Bronze Winged Shield,Shield,Shield,Light,127,-3,10,,Fire ,8,,,13,Frequent,936,Expanse,,,,,,,,Fire Bronze Winged Shield
,Bronze Winged Shield,Shield,Shield,Light,127,-3,10,,Water ,8,,,13,Frequent,936,Expanse,,,,,,,,Water Bronze Winged Shield
,Bwaag Scaap,Shield,Shield,Light,136,-3,10,,Air ,10,,,14,Infrequent,1092,Nordagh,,,,,,,,Air Bwaag Scaap
,Copper Round Shield,Shield,Shield,Light,117,-3,9,,,,,,12,Frequent,648,Imperia,,,,,,,,Copper Round Shield
,Coral Shield,Shield,Shield,Light,146,-3,11,,Water ,14,,,15,Very Rare,1380,Steppes,,,,,,,,Water Coral Shield
,Cured Leather Shield,Shield,Shield,Light,40,-1,4,,Air ,4,,,4,Common,216,Steppes,,,,,,,,Air Cured Leather Shield
,Cured Leather Shield,Shield,Shield,Light,40,-1,4,,Earth ,4,,,4,Common,216,Steppes,,,,,,,,Earth Cured Leather Shield
,Cured Leather Shield,Shield,Shield,Light,40,-1,4,,Fire ,4,,,4,Common,216,Steppes,,,,,,,,Fire Cured Leather Shield
,Cured Leather Shield,Shield,Shield,Light,40,-1,4,,Water ,4,,,4,Common,216,Steppes,,,,,,,,Water Cured Leather Shield
,Embossed Leather Shield,Shield,Shield,Light,20,-1,3,,Air ,4,,,2,Common,104,Steppes,,,,,,,,Air Embossed Leather Shield
,Embossed Leather Shield,Shield,Shield,Light,20,-1,3,,Earth ,4,,,2,Common,104,Steppes,,,,,,,,Earth Embossed Leather Shield
,Embossed Leather Shield,Shield,Shield,Light,20,-1,3,,Fire ,4,,,2,Common,104,Steppes,,,,,,,,Fire Embossed Leather Shield
,Embossed Leather Shield,Shield,Shield,Light,20,-1,3,,Water ,4,,,2,Common,104,Steppes,,,,,,,,Water Embossed Leather Shield
,Hardened Leather Shield,Shield,Shield,Light,59,-2,6,,Air ,4,,,6,Infrequent,360,Steppes,,,,,,,,Air Hardened Leather Shield
,Hardened Leather Shield,Shield,Shield,Light,59,-2,6,,Earth ,4,,,6,Infrequent,360,Steppes,,,,,,,,Earth Hardened Leather Shield
,Hardened Leather Shield,Shield,Shield,Light,59,-2,6,,Fire ,4,,,6,Infrequent,360,Steppes,,,,,,,,Fire Hardened Leather Shield
,Hardened Leather Shield,Shield,Shield,Light,59,-2,6,,Water ,4,,,6,Infrequent,360,Steppes,,,,,,,,Water Hardened Leather Shield
,Iron Buckler,Shield,Shield,Light,20,-1,3,,,,,,2,Common,88,Nordagh,,,,,,,,Iron Buckler
,Lacquered Shield,Shield,Shield,Light,98,-2,8,,Air ,4,,,10,Frequent,620,Steppes,,,,,,,,Air Lacquered Shield
,Lacquered Shield,Shield,Shield,Light,98,-2,8,,Earth ,4,,,10,Frequent,620,Steppes,,,,,,,,Earth Lacquered Shield
,Lacquered Shield,Shield,Shield,Light,98,-2,8,,Fire ,4,,,10,Frequent,620,Steppes,,,,,,,,Fire Lacquered Shield
,Lacquered Shield,Shield,Shield,Light,98,-2,8,,Water ,4,,,10,Frequent,620,Steppes,,,,,,,,Water Lacquered Shield
,Parma,Shield,Shield,Light,11,,2,,,,,,1,Common,44,Imperia,,,,,,,,Parma
,Trainer's Scutum,Shield,Shield,Light,156,-3,11,,,,,,16,Common,896,Imperia,,,,,,,,Trainer's Scutum
,Umbo,Shield,Shield,Light,30,-1,4,,Air ,4,,,3,Infrequent,174,Imperia,,,,,,,,Air Umbo
,Umbo,Shield,Shield,Light,30,-1,4,,Earth ,4,,,3,Infrequent,174,Imperia,,,,,,,,Earth Umbo
,Umbo,Shield,Shield,Light,30,-1,4,,Fire ,4,,,3,Infrequent,174,Imperia,,,,,,,,Fire Umbo
,Umbo,Shield,Shield,Light,30,-1,4,,Water ,4,,,3,Infrequent,174,Imperia,,,,,,,,Water Umbo
,Wicker Shield,Shield,Shield,Light,49,-2,5,,Air ,4,,,5,Common,270,Steppes,,,,,,,,Air Wicker Shield
,Wicker Shield,Shield,Shield,Light,49,-2,5,,Earth ,4,,,5,Common,270,Steppes,,,,,,,,Earth Wicker Shield
,Wicker Shield,Shield,Shield,Light,49,-2,5,,Fire ,4,,,5,Common,270,Steppes,,,,,,,,Fire Wicker Shield
,Wicker Shield,Shield,Shield,Light,49,-2,5,,Water ,4,,,5,Common,270,Steppes,,,,,,,,Water Wicker Shield
,Wooden Shield,Shield,Shield,Light,88,-2,7,,Air ,4,,,9,Frequent,540,Nordagh,,,,,,,,Air Wooden Shield
,Wooden Shield,Shield,Shield,Light,88,-2,7,,Earth ,4,,,9,Frequent,540,Nordagh,,,,,,,,Earth Wooden Shield
,Wooden Shield,Shield,Shield,Light,88,-2,7,,Fire ,4,,,9,Frequent,540,Nordagh,,,,,,,,Fire Wooden Shield
,Wooden Shield,Shield,Shield,Light,88,-2,7,,Water ,4,,,9,Frequent,540,Nordagh,,,,,,,,Water Wooden Shield
,Dark Dark Ludo Shield,Shield,Shield,Ludo,253,-4,12,,Dark ,10,,,1,Infrequent,640,Imperia,,,,,,,,Dark Dark Ludo Shield
,Beast's Shield,Shield,Shield,Medium,14,,2,,Air ,4,,,1,Frequent,108,Steppes,,,,,,,,Air Beast's Shield
,Beast's Shield,Shield,Shield,Medium,14,,2,,Earth ,4,,,1,Frequent,108,Steppes,,,,,,,,Earth Beast's Shield
,Beast's Shield,Shield,Shield,Medium,14,,2,,Fire ,4,,,1,Frequent,108,Steppes,,,,,,,,Fire Beast's Shield
,Beast's Shield,Shield,Shield,Medium,14,,2,,Water ,4,,,1,Frequent,108,Steppes,,,,,,,,Water Beast's Shield
,Branded Hardwood Shield,Shield,Shield,Medium,156,-3,10,,,,,,14,Infrequent,1624,Nordagh,,,,,,,,Branded Hardwood Shield
,Hoplite,Shield,Shield,Medium,69,-2,6,,,,,,6,Common,576,Imperia,,,,,,,,Hoplite
,Nomad's Shield,Shield,Shield,Medium,134,-3,9,,,,,,12,Infrequent,1344,Steppes,,,,,,,,Nomad's Shield
,Reinforced Wooden Shield,Shield,Shield,Medium,35,-1,4,,,,,,3,Common,276,Steppes,,,,,,,,Reinforced Wooden Shield
,Steel Guard Shield,Shield,Shield,Medium,112,-2,8,,,,,,10,Infrequent,1120,Nordagh,,,,,,,,Steel Guard Shield
,Iron Targe,Shield,Shield,Murmillo,77,-1,4,,,,,,4,Unique,1472,Nordagh,,,,Classspecific,,,,Iron Targe
,The Cat's Claw,Shield,Shield,Murmillo,135,-2,7,,Air ,12,,,9,Infrequent,5616,Steppes,,,,Classspecific,,,,Air The Cat's Claw
,The Cat's Claw,Shield,Shield,Murmillo,135,-2,7,,Earth ,12,,,9,Infrequent,5616,Steppes,,,,Classspecific,,,,Earth The Cat's Claw
,The Cat's Claw,Shield,Shield,Murmillo,135,-2,7,,Fire ,12,,,9,Infrequent,5616,Steppes,,,,Classspecific,,,,Fire The Cat's Claw
,The Cat's Claw,Shield,Shield,Murmillo,135,-2,7,,Water ,12,,,9,Infrequent,5616,Steppes,,,,Classspecific,,,,Water The Cat's Claw
,Throwing Hoplite,Shield,Shield,Murmillo,106,-2,6,,,,,,7,Unique,2688,Imperia,,,,Classspecific,,,,Throwing Hoplite
,Dark Devil's Shield,Shield,Shield,Mutuus,357,-1,10,,Dark ,20,,,1,Rare,832,Imperia,,,,Classspecific,,,,Dark Devil's Shield
,Charging Rhino,Shield,Shield,Ogre,267,-4,13,,,,,,18,Unique,8352,Imperia,,,,Classspecific,,,,Charging Rhino
,Batenkh's Bane,Shield,Shield,Samnite,267,-4,13,,,,,,18,Unique,8352,Steppes,,,,Classspecific,,,,Batenkh's Bane
,Notched Tower,Shield,Shield,Samnite,253,-4,12,,Air ,10,,,17,Unique,10336,Imperia,,,,Classspecific,,,,Air Notched Tower
,Notched Tower,Shield,Shield,Samnite,253,-4,12,,Earth ,10,,,17,Unique,10336,Imperia,,,,Classspecific,,,,Earth Notched Tower
,Notched Tower,Shield,Shield,Samnite,253,-4,12,,Fire ,10,,,17,Unique,10336,Imperia,,,,Classspecific,,,,Fire Notched Tower
,Notched Tower,Shield,Shield,Samnite,253,-4,12,,Water ,10,,,17,Unique,10336,Imperia,,,,Classspecific,,,,Water Notched Tower
,Charioteer's Shield,Shield,Shield,Secutor,175,-4,13,,,,,,18,Unique,8352,Imperia,,,,Classspecific,,,,Charioteer's Shield
,Fur Lined Shield,Shield,Shield,Secutor,146,-3,11,,Air ,16,,,15,Unique,10560,Steppes,,,,Classspecific,,,,Air Fur Lined Shield
,Fur Lined Shield,Shield,Shield,Secutor,146,-3,11,,Earth ,16,,,15,Unique,10560,Steppes,,,,Classspecific,,,,Earth Fur Lined Shield
,Fur Lined Shield,Shield,Shield,Secutor,146,-3,11,,Fire ,16,,,15,Unique,10560,Steppes,,,,Classspecific,,,,Fire Fur Lined Shield
,Fur Lined Shield,Shield,Shield,Secutor,146,-3,11,,Water ,16,,,15,Unique,10560,Steppes,,,,Classspecific,,,,Water Fur Lined Shield
,Riveted Battle Axe,Weapon,Axe,Barbarian,84,10,-10,,,,,,20,Unique,28800,Nordagh,,,,Classspecific,,,,Riveted Battle Axe
,Jagged Stone Axe,Weapon,Axe,Berserker,57,10,-10,,Earth ,14,,,19,Unique,46512,Nordagh,,,,Classspecific,,,,Earth Jagged Stone Axe
,Slate Axe,Weapon,Axe,Berserker,54,10,-9,,,,,,18,Unique,27216,Nordagh,,,,Classspecific,,,,Slate Axe
,Dark Carnificina Dark,Weapon,Axe,DarkLegion,30,6,-6,,Dark ,6,,,9,Frequent,17496,Imperia,,,,Classspecific,,,,Dark Carnificina Dark
,Axes Conseco,Weapon,Axe,Dervish,24,6,-5,,Air ,8,,,8,Rare,18432,Imperia,,,,Classspecific,,,,Air Axes Conseco
,Axes Conseco,Weapon,Axe,Dervish,24,6,-5,,Earth ,8,,,8,Rare,18432,Imperia,,,,Classspecific,,,,Earth Axes Conseco
,Axes Conseco,Weapon,Axe,Dervish,24,6,-5,,Fire ,8,,,8,Rare,18432,Imperia,,,,Classspecific,,,,Fire Axes Conseco
,Axes Conseco,Weapon,Axe,Dervish,24,6,-5,,Water ,8,,,8,Rare,18432,Imperia,,,,Classspecific,,,,Water Axes Conseco
,Crude Axes,Weapon,Axe,Dervish,45,8,-8,,Earth ,12,,,15,Common,34560,Nordagh,,,,Classspecific,,,,Earth Crude Axes
,Double Fist,Weapon,Axe,Dervish,18,6,-5,,Air ,4,,,6,Frequent,11232,Nordagh,,,,Classspecific,,,,Air Double Fist
